تاريخ,حجممعاملات,ارزشمعاملات,تعدادمعاملات
1401/12/24,2438075,856515768071,12111
1401/12/23,2491141,554641132644,11179
1401/12/22,1544843,488536934817,9248
1401/12/21,1517794,379283065441,9427
1401/12/20,2500683,829880214724,13780
1401/12/16,2920889,938045550224,15752
1401/12/15,1842910,478098487207,8733
1401/12/14,2374866,662718687694,11769
1401/12/13,1639989,373529734676,9177
1401/12/10,4583520,815874882135,17227
1401/12/09,4897871,1268419717938,19505
1401/12/08,4532549,79923668556,16039
1401/12/07,4649611,1426294227650,21402
1401/12/06,4258516,1217339314872,19055
1401/12/03,5520119,1282312148542,19448
1401/12/02,5306863,750981157130,19981
1401/12/01,4635569,649162790884,16441
1401/11/30,3285362,231314110463,10128
1401/11/26,1855199,179371888893,6293
1401/11/25,1180569,142130777684,5661
1401/11/24,1175364,56380896303,4958
1401/11/23,1197149,177304225371,4266
1401/11/19,1575390,220546801627,6252
1401/11/18,1757417,141862614692,7988
1401/11/17,1900398,195684778996,6981
1401/11/16,3291239,291423137946,11623
1401/11/12,3294151,490904760733,12307
1401/11/11,3793509,500645555600,14428
1401/11/10,2802020,342110458620,13055
1401/11/09,3518294,339925957458,13949
1401/11/08,3200039,577965012820,13539
1401/11/05,3217138,473772865387,11222
1401/11/04,2946174,708053057430,12121
1401/11/03,4996206,863517522534,19086
1401/11/02,4068557,908892604047,16549
1401/11/01,3780165,850796577870,15259
1401/10/28,2020658,486313362709,10211
1401/10/27,2716569,921836242785,13302
1401/10/26,2019035,571470820944,9792
1401/10/24,1386513,65662459025,6903
1401/10/21,2875751,765524246468,12680
1401/10/20,2515997,769279141039,12345
1401/10/19,3294698,1094274911966,15886
1401/10/18,3917355,1184287764397,18139
1401/10/17,3840826,384772813149,17363
1401/10/14,2466948,791302869964,13560
1401/10/13,3662981,1181771056003,18358
1401/10/12,3105072,818364444304,14533
1401/10/11,2406015,766442195057,12689
1401/10/10,2379719,668968212770,12977
1401/10/07,4216765,916878110728,15489
1401/10/05,2798493,586004331107,12718
